Date	Open	High	Low	Close*	Adj Close**	Volume
Nov 16, 2021	506.90	526.85	506.20	519.05	519.05	55,897,781
Nov 15, 2021	506.25	514.90	504.50	505.45	505.45	18,014,977
Nov 12, 2021	506.95	509.55	497.35	507.05	507.05	20,731,808
Nov 11, 2021	510.00	519.00	501.00	503.45	503.45	29,256,213
Nov 10, 2021	506.25	515.95	500.20	510.75	510.75	26,615,777
Nov 09, 2021	505.00	520.65	503.50	509.65	509.65	50,458,762
Nov 08, 2021	493.90	504.85	490.25	501.40	501.40	31,736,426
Nov 04, 2021	489.80	493.55	488.00	489.70	489.70	5,531,940
Nov 03, 2021	483.80	495.00	481.60	484.90	484.90	22,950,198
Nov 02, 2021	506.50	510.00	486.50	487.85	487.85	51,580,720
Nov 01, 2021	486.45	489.70	469.80	485.70	485.70	34,315,690
Oct 29, 2021	482.00	491.60	467.70	483.70	483.70	31,054,342
Oct 28, 2021	493.90	493.90	478.55	481.05	481.05	25,182,748
Oct 27, 2021	505.75	506.55	496.00	497.90	497.90	30,361,263
Oct 26, 2021	483.50	510.00	483.25	508.65	508.65	58,027,770
Oct 25, 2021	493.90	496.00	473.25	479.90	479.90	33,107,841
Oct 22, 2021	509.90	510.70	487.40	490.90	490.90	42,742,785
Oct 21, 2021	491.75	510.40	485.75	508.00	508.00	52,608,672
Oct 20, 2021	481.80	497.00	471.25	486.90	486.90	55,444,814
Oct 19, 2021	512.45	517.40	476.05	481.90	481.90	57,428,637
Oct 18, 2021	507.00	525.00	503.60	509.60	509.60	72,322,623
Oct 14, 2021	530.00	530.00	492.00	497.60	497.60	103,630,901
Oct 13, 2021	462.90	523.85	462.90	506.90	506.90	197,949,387
Oct 12, 2021	423.00	435.70	413.60	420.85	420.85	97,349,265
Oct 11, 2021	390.15	420.90	388.00	415.75	415.75	113,404,983
Oct 08, 2021	385.90	397.55	380.00	382.95	382.95	93,728,117
Oct 07, 2021	341.10	383.00	339.25	376.50	376.50	163,238,084
Oct 06, 2021	347.00	348.70	335.00	336.05	336.05	25,272,592
Oct 05, 2021	340.45	351.50	338.85	344.95	344.95	31,861,985
Oct 04, 2021	336.80	343.25	335.15	342.00	342.00	29,553,072
Oct 01, 2021	332.65	337.30	325.70	333.30	333.30	29,877,695
Sep 30, 2021	331.25	337.90	329.10	333.35	333.35	30,268,517
Sep 29, 2021	325.00	333.00	324.00	330.25	330.25	19,740,150
Sep 28, 2021	334.00	336.00	324.50	329.30	329.30	28,497,009
Sep 27, 2021	323.15	333.60	323.15	331.65	331.65	56,305,136
Sep 24, 2021	325.10	326.95	316.05	317.95	317.95	28,901,243
Sep 23, 2021	313.20	324.00	313.20	321.50	321.50	52,701,665
Sep 22, 2021	303.15	313.80	303.00	310.10	310.10	29,545,253
Sep 21, 2021	298.60	302.70	293.10	301.95	301.95	19,439,330
Sep 20, 2021	304.90	310.25	297.30	298.95	298.95	19,632,688
Sep 17, 2021	312.00	315.35	306.00	308.60	308.60	24,972,069
Sep 16, 2021	313.40	315.00	307.65	311.65	311.65	26,249,369
Sep 15, 2021	306.10	313.00	306.10	311.95	311.95	26,808,872
Sep 14, 2021	302.25	307.20	302.20	306.10	306.10	23,234,649
Sep 13, 2021	299.00	302.00	295.50	301.20	301.20	16,339,860
Sep 09, 2021	294.00	303.50	293.55	298.95	298.95	34,020,970
Sep 08, 2021	293.50	298.80	291.60	295.25	295.25	14,920,479
Sep 07, 2021	297.35	297.80	290.90	294.60	294.60	14,325,904
Sep 06, 2021	297.50	298.95	296.00	297.45	297.45	16,622,865
Sep 03, 2021	292.50	296.45	292.00	295.55	295.55	16,594,135
Sep 02, 2021	295.25	296.30	291.70	293.15	293.15	14,907,001
Sep 01, 2021	289.00	297.40	287.30	295.25	295.25	33,103,168
Aug 31, 2021	291.75	291.95	286.10	287.30	287.30	36,951,003
Aug 30, 2021	290.10	293.50	289.90	291.95	291.95	17,217,097
Aug 27, 2021	282.90	286.80	281.70	285.75	285.75	13,477,390
Aug 26, 2021	284.85	287.35	281.65	284.30	284.30	17,864,053
Aug 25, 2021	282.80	289.20	282.45	284.40	284.40	31,538,128
Aug 24, 2021	278.50	281.50	268.45	279.80	279.80	37,589,121
Aug 23, 2021	287.20	288.30	275.00	276.95	276.95	24,498,294
Aug 20, 2021	289.50	290.70	281.00	283.10	283.10	32,578,752
